@relation trainAll

@attribute adventurer numeric
@attribute advocate numeric
@attribute agreeableness numeric
@attribute anger numeric
@attribute architect numeric
@attribute campaigner numeric
@attribute commander numeric
@attribute confidence numeric
@attribute conscientiousness numeric
@attribute consul numeric
@attribute debater numeric
@attribute defender numeric
@attribute entertainer numeric
@attribute entrepreneur numeric
@attribute executive numeric
@attribute extraversion numeric
@attribute fear numeric
@attribute hashtags numeric
@attribute isAgreement {True,False}
@attribute isIronic {False,True}
@attribute isRetweet {False,True}
@attribute isSubjective {True,False}
@attribute joy numeric
@attribute links numeric
@attribute logician numeric
@attribute logistician numeric
@attribute mediator numeric
@attribute mentions numeric
@attribute openness numeric
@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute protagonist numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute text string
@attribute topic {nostalgia,psychology,cricket,music,personal_care_and_beauty,philosophy,astronomy,history,biology,entertainment_news,math,drugs,energy,business,tattoo,hunting,scuba,comics,soccer,writing,television,aviation,boxing,weight_training,health,art,islam,running,programming,bicycling,science,design,wedding,parenting,gender_issues,judaism,gardening,tennis,jobs,architecture,wrestling,education,christianity,skateboarding,climbing,weather,surfing,school,cars,gaming,archery,ultimate,swimming,buddhism,poetry,rugby,wine,nfl,anime,fashion,comedy,guns,books,religion,individualist_politics,hockey,medicine,technology,poker,investment,personal,romance,yoga,singing,golf,startups_and_entrepreneurship,environmental,atheism,general_food,nba,travel,beer,pets,film,relationships,fiction,baseball,electronics,military,lgbt,realestate,fitness,conspiracy,vegetarian,nutrition,dieting,DIY,economic_discussion,sports,photography,personalfinance,fishing,sailing,vegan,left_politics,anthropology,crafts,news,right_politics}
@attribute virtuoso numeric
@attribute words numeric
@attribute class {Bot,Human}

@data
0.053093,0.076549,0.513936,0.094964,0.073254,0.076853,0.070501,100,0.475681,0.048983,0.073545,0.050896,0.051098,0.048898,0.046874,0.505638,0.197782,0,True,False,False,False,0.302421,0,0.076417,0.048705,0.079854,1,0.57116,N,0.073672,0.370571,0.034261,'@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven',entertainment_news,0.050808,21,Bot
0.135517,0.039953,0.496044,0.016132,0.033889,0.071665,0.019479,100,0.363998,0.024961,0.060787,0.043426,0.077894,0.066071,0.021172,0.452893,0.057529,0,True,False,False,True,0.67785,0,0.105756,0.036835,0.12468,1,0.562685,P,0.022965,0.022816,0.225673,'@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :)',cricket,0.114948,13,Bot
0.05379,0.048906,0.509066,0.213767,0.047295,0.078915,0.069782,100,0.477377,0.07257,0.076315,0.049185,0.079365,0.07675,0.070179,0.564296,0.234109,0,True,False,False,False,0.150349,0,0.051723,0.047564,0.053485,1,0.502777,NONE,0.072159,0.336531,0.065245,'@valdarcala please follow me',cricket,0.052018,4,Bot
0.03661,0.0772,0.491945,0.267864,0.086028,0.085502,0.09129,100,0.464936,0.037223,0.095279,0.035078,0.03885,0.043292,0.04148,0.522206,0.323389,0,True,False,False,False,0.172959,0,0.089787,0.039089,0.080573,1,0.628299,P+,0.081922,0.229213,0.006576,'@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman',math,0.040797,15,Bot
0.078763,0.06858,0.544255,0.160359,0.052603,0.084148,0.047001,100,0.439245,0.051246,0.064544,0.057355,0.070374,0.05398,0.039307,0.50675,0.167545,0,True,False,False,False,0.169558,0,0.072238,0.043993,0.094178,1,0.554059,NONE,0.061276,0.433747,0.068791,'@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill',philosophy,0.060414,19,Bot
0.060213,0.03833,0.469858,0.0958,0.043654,0.064395,0.061161,100,0.483991,0.070353,0.073339,0.050215,0.084362,0.096079,0.080124,0.547214,0.105402,0,True,False,False,False,0.199086,0,0.052346,0.057189,0.045962,0,0.464586,NONE,0.053702,0.194644,0.405069,'Ended the day in a and note fukk you',cricket,0.068576,9,Bot
0.063102,0.059873,0.419969,0.112635,0.087539,0.043755,0.056729,100,0.506181,0.036262,0.063973,0.055956,0.040893,0.059789,0.053018,0.423173,0.239825,0,True,False,True,False,0.081749,1,0.098719,0.081813,0.067519,1,0.52103,NONE,0.0388,0.52819,0.037602,'RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor',biology,0.092261,10,Bot
0.04802,0.042549,0.508423,0.56117,0.041384,0.097137,0.073495,100,0.445171,0.066341,0.094476,0.037356,0.08528,0.082944,0.064523,0.599458,0.102952,0,True,False,False,False,0.010254,0,0.053198,0.036332,0.054697,0,0.535592,NONE,0.075565,0.275818,0.049807,'Why do people act like LeBron was the first person to do the powder toss?',drugs,0.046704,15,Bot
0.055377,0.074459,0.476661,0.124745,0.085003,0.05953,0.067825,100,0.497835,0.044099,0.06796,0.055268,0.044187,0.050444,0.050344,0.465765,0.303893,0,True,False,False,False,0.380073,0,0.085172,0.063094,0.074607,0,0.55087,P,0.059412,0.182119,0.009169,'A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren',energy,0.063219,25,Bot
0.028508,0.046419,0.385943,0.157383,0.09159,0.053845,0.115727,92,0.517796,0.039236,0.106243,0.031052,0.03602,0.071073,0.077417,0.515845,0.187604,0,True,False,False,True,0.240911,0,0.084084,0.06127,0.042615,1,0.556054,N+,0.058652,0.231603,0.182498,'@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert',business,0.056249,20,Bot
0.067809,0.067994,0.56202,0.171302,0.049305,0.08661,0.055514,100,0.460762,0.067486,0.062804,0.059938,0.076348,0.055363,0.048937,0.537985,0.152595,0,True,False,False,True,0.209312,0,0.05578,0.043463,0.076923,1,0.530484,P,0.076557,0.144006,0.322785,'@NJoshuaDart very cool',tattoo,0.049171,3,Bot
0.070931,0.046654,0.435012,0.125297,0.060816,0.06432,0.050085,100,0.440678,0.034895,0.083845,0.042371,0.058416,0.076149,0.045488,0.47711,0.186146,0,True,False,False,False,0.214697,0,0.101809,0.055234,0.0781,1,0.551646,NONE,0.038422,0.141542,0.332317,'@liveyoucaique awsome',hunting,0.092464,2,Bot
0.034131,0.067382,0.443111,0.30225,0.095127,0.078229,0.091908,100,0.454639,0.027443,0.11044,0.028404,0.032976,0.046554,0.038743,0.503923,0.325548,0,True,False,False,False,0.125227,0,0.114307,0.040099,0.080968,1,0.648394,NONE,0.065103,0.167759,0.079217,'@GarrettArt Whatever advice you give be brief. - Horace',biology,0.048185,8,Bot
0.066483,0.054986,0.540977,0.564809,0.044162,0.080563,0.056849,100,0.469219,0.075191,0.064705,0.058411,0.085582,0.068736,0.060391,0.550998,0.230556,0,True,False,False,False,0.023377,0,0.050265,0.046914,0.062584,0,0.498156,P,0.070782,0.145272,0.035986,'What must i do to make you understand...??',math,0.053396,8,Bot
0.142864,0.0203,0.505127,0.018583,0.015911,0.086251,0.01541,100,0.333232,0.03154,0.067603,0.032566,0.138367,0.108451,0.024721,0.534874,0.462226,0,True,False,False,True,0.237317,0,0.0698,0.025525,0.089054,1,0.511434,P,0.019661,0.043138,0.238737,'@M_Gutowsky Mir geht\'s gut! :) Und bei dir auch alles okay?',scuba,0.111976,10,Bot
0.061823,0.074984,0.494518,0.079909,0.077322,0.059927,0.061807,100,0.498192,0.049428,0.061796,0.061835,0.049418,0.050959,0.050969,0.467864,0.142781,0,True,False,False,False,0.203533,0,0.077308,0.063763,0.07497,2,0.533742,NONE,0.059938,0.111852,0.461925,'@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww',business,0.063751,3,Bot
0.060249,0.064561,0.491073,0.116073,0.067272,0.071685,0.063467,100,0.470269,0.048297,0.074695,0.051193,0.056841,0.059228,0.050325,0.499277,0.177267,0,True,False,False,True,0.188211,0,0.079173,0.053342,0.075983,1,0.550465,P,0.060909,0.155995,0.362454,'@LaunchBubble nice...',cricket,0.062779,2,Bot
0.050684,0.051246,0.449728,0.067685,0.067561,0.049438,0.07477,92,0.534249,0.064349,0.065177,0.058144,0.056093,0.07395,0.084835,0.497799,0.038719,0,True,False,False,True,0.354044,0,0.058892,0.076655,0.044671,0,0.467181,N,0.056715,0.491792,0.04776,'A life without love is like a year without summer. - Swedish Proverb',music,0.06682,12,Bot
0.084741,0.042138,0.529209,0.212322,0.034297,0.056042,0.041291,100,0.497974,0.092358,0.045613,0.076712,0.102024,0.083038,0.07517,0.52811,0.233145,0,True,False,False,False,0.201974,0,0.037886,0.062436,0.046549,0,0.40876,NONE,0.050733,0.166323,0.186235,one.,comics,0.068971,1,Bot
0.082166,0.062372,0.523087,0.258024,0.053096,0.063987,0.04658,100,0.479218,0.06164,0.054471,0.070263,0.072082,0.061363,0.052473,0.488412,0.129091,0,True,False,False,False,0.184934,0,0.062091,0.059814,0.072938,0,0.492597,P,0.054717,0.141218,0.286734,'The time is always right to do what is right. - Martin Luther King Jr.',business,0.069947,14,Bot
0.040436,0.057941,0.432142,0.43342,0.085504,0.063563,0.089121,100,0.49094,0.040043,0.093802,0.038418,0.042146,0.062196,0.059092,0.501235,0.116185,0,True,False,False,False,0.050553,0,0.089996,0.056694,0.060984,1,0.569667,N,0.060391,0.372016,0.027826,'@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle',soccer,0.059673,15,Bot
0.056953,0.08454,0.621338,0.108629,0.04609,0.124851,0.056573,86,0.419641,0.058101,0.068067,0.047336,0.069906,0.038112,0.031676,0.573529,0.037956,0,False,False,False,True,0.195867,0,0.055455,0.025807,0.101717,2,0.609166,N,0.103768,0.274775,0.382773,'No logic whatsoever but the music was good good editors. @emafabolous: @ImrKil It SUCKS!',writing,0.03105,14,Bot
0.063909,0.053689,0.420275,0.027145,0.076798,0.058188,0.053786,100,0.451603,0.028924,0.083233,0.041299,0.044759,0.064024,0.041373,0.449672,0.337542,0,True,False,False,False,0.501457,0,0.118844,0.059074,0.083083,0,0.574831,P,0.037601,0.054402,0.079455,'Improvement begins with I. - Arnold . Glasgow',cricket,0.091416,6,Bot
0.056251,0.044332,0.508352,0.180591,0.042378,0.084365,0.065494,100,0.460298,0.0706,0.080647,0.045682,0.086934,0.083103,0.067488,0.574961,0.238577,0,True,False,False,False,0.162731,0,0.052183,0.043669,0.054589,1,0.506696,NONE,0.068513,0.33198,0.086122,'@CHOCOICE_JINRYU Please follow me',cricket,0.053772,4,Bot
0.101553,0.041415,0.536915,0.213638,0.031019,0.074068,0.033998,100,0.435239,0.068212,0.055476,0.062235,0.111305,0.083367,0.05109,0.532666,0.234129,0,True,False,False,False,0.072414,0,0.050616,0.046614,0.067578,0,0.466766,NONE,0.045392,0.308464,0.171356,'Everybody watching drumline???',television,0.076062,3,Bot
0.08509,0.057207,0.531371,0.397452,0.046459,0.062069,0.044394,100,0.485811,0.071607,0.050407,0.074939,0.081307,0.066032,0.058154,0.499565,0.108506,0,True,False,False,True,0.128306,0,0.052752,0.060859,0.064956,1,0.465034,P,0.054664,0.168555,0.197181,'@dmarc_24 Cool page',comics,0.069104,3,Bot
0.064006,0.05989,0.401643,0.51803,0.095635,0.036683,0.052848,100,0.517013,0.031911,0.058576,0.057747,0.03537,0.05648,0.050956,0.39518,0.151654,0,True,False,False,True,0.036998,0,0.106002,0.092212,0.066382,0,0.51523,N,0.033095,0.276014,0.017303,'When everything seems to be going against you remember that the airplane takes off against the wind not with it. - Henry Ford',aviation,0.102208,22,Bot
0.061504,0.065353,0.516093,0.096731,0.060235,0.077566,0.062503,100,0.468364,0.055795,0.071493,0.053771,0.06382,0.058822,0.051426,0.517457,0.348747,0,True,False,False,False,0.068523,0,0.068899,0.04956,0.074752,1,0.542238,P,0.067813,0.249234,0.236766,'@UnlovedTrash T-Trubbish..? Tom floated right above where he hid with a curious look.',boxing,0.056688,13,Bot
0.054574,0.042727,0.643862,0.187965,0.020361,0.104428,0.050438,100,0.462869,0.137025,0.049764,0.055314,0.135192,0.064424,0.065297,0.655882,0.19966,0,True,False,False,True,0.050125,0,0.020089,0.026359,0.042156,0,0.453219,N,0.105844,0.464142,0.098108,'when you\'re lonely all you gotta do is call me. you know you\'re my one and only. come next to me lemme take you on a journey ?',weight_training,0.026007,27,Bot
0.058503,0.070363,0.494358,0.277492,0.073859,0.04927,0.065526,100,0.540249,0.065761,0.051717,0.074123,0.051902,0.054481,0.069028,0.470715,0.253276,0,True,False,True,False,0.205127,0,0.058294,0.077805,0.055535,1,0.475345,NONE,0.062425,0.189576,0.074529,'RT @JenSelter: Can\'t sleep',health,0.061409,4,Bot
0.066239,0.041178,0.547609,0.862071,0.031734,0.072315,0.052236,92,0.48595,0.102197,0.05573,0.062086,0.109033,0.084027,0.078759,0.580463,0.037319,0,True,False,False,True,0.003527,0,0.033857,0.047847,0.043932,0,0.434203,P,0.067781,0.09443,0.002653,'I won\'t reply to you if you send one word texts so don\'t get mad at me for not replying when you\'re the one who\'s one wording me.',writing,0.051048,28,Bot
0.03976,0.069857,0.479018,0.116859,0.081624,0.084257,0.086297,98,0.458073,0.036847,0.09845,0.034852,0.042036,0.049117,0.043054,0.520819,0.188612,0,True,False,False,False,0.214152,0,0.093118,0.040723,0.079694,0,0.620582,P+,0.073856,0.391168,0.089209,'The more reasons you have for achieving your goal the more determined you will become. - Brian Tracy',soccer,0.046457,17,Bot
0.046352,0.059406,0.48437,0.12606,0.067132,0.065837,0.082425,100,0.508707,0.063051,0.074399,0.051353,0.056912,0.064313,0.071252,0.526976,0.163435,0,True,False,False,True,0.155701,0,0.060595,0.058032,0.053621,1,0.515284,NONE,0.072939,0.149269,0.405535,'@gangrenadiario WOW',art,0.052381,2,Bot
0.080318,0.066961,0.562637,0.18001,0.047585,0.058544,0.046157,86,0.51296,0.086432,0.041604,0.089107,0.077907,0.055364,0.061422,0.49953,0.185889,0,False,False,False,True,0.20724,0,0.042891,0.063323,0.060356,0,0.446779,NEU,0.064951,0.263329,0.163532,'If you have choices choose the best. If you have no choice do the best.',philosophy,0.057077,15,Bot
0.080859,0.047916,0.527263,0.045311,0.039862,0.059936,0.045454,100,0.494337,0.084052,0.049862,0.073711,0.092202,0.076704,0.069924,0.521892,0.049466,0,True,False,False,True,0.306419,0,0.043728,0.061322,0.052562,1,0.435066,P+,0.054638,0.049344,0.549459,'@metalinsider you\'re awesome',cricket,0.067268,3,Bot
0.050681,0.062313,0.420277,0.148948,0.095149,0.042973,0.071907,100,0.532299,0.041973,0.065617,0.055539,0.038301,0.058484,0.06409,0.439115,0.384554,0,True,False,False,True,0.077464,0,0.086826,0.084806,0.056862,1,0.512927,P,0.047092,0.333589,0.055445,'@Herostrain The superior man is modest in his speech but exceeds in his actions. - Confucius',islam,0.077388,15,Bot
0.082094,0.061745,0.606408,0.216114,0.034622,0.075181,0.04245,100,0.484538,0.101362,0.042155,0.082669,0.100657,0.05644,0.056835,0.548149,0.120874,0,True,False,False,True,0.057296,0,0.034381,0.046354,0.061316,0,0.451971,P+,0.075707,0.568171,0.037545,'if you loved me you would be here with me...',nostalgia,0.046031,10,Bot
0.074202,0.050232,0.499089,0.442968,0.048856,0.052002,0.05065,100,0.514842,0.077037,0.050577,0.074309,0.076926,0.074819,0.074926,0.498533,0.164727,0,True,False,False,True,0.108218,0,0.048786,0.072273,0.05016,1,0.434734,P,0.052076,0.272546,0.01154,'@staticinverona It\'s simple ... go the extra mile and you will stand out from the crowd. - Robin Crow',running,0.072169,17,Bot
0.046352,0.059406,0.48437,0.12606,0.067132,0.065837,0.082425,100,0.508707,0.063051,0.074399,0.051353,0.056912,0.064313,0.071252,0.526976,0.163435,0,True,False,False,True,0.155701,0,0.060595,0.058032,0.053621,1,0.515284,NONE,0.072939,0.149269,0.405535,'@Rahmawati765 wow',cricket,0.052381,2,Bot
0.066595,0.054566,0.499735,0.552866,0.054064,0.05411,0.057484,100,0.51953,0.075921,0.053612,0.071404,0.070807,0.070155,0.075222,0.502105,0.080137,0,True,False,False,True,0.009307,0,0.050423,0.070747,0.050891,0,0.449755,N+,0.058018,0.312349,0.045341,'That\'s the pussy step dad shit I be talking about.... If it wasn\'t for my mom we would\'ve been threw the hands',nostalgia,0.065982,22,Bot
0.054019,0.05967,0.525362,0.379001,0.054276,0.06031,0.069688,100,0.529749,0.088107,0.054858,0.068621,0.069358,0.063088,0.080142,0.532271,0.25747,0,True,False,False,False,0.116434,0,0.042726,0.062418,0.046972,0,0.458532,NONE,0.076613,0.191129,0.055967,'That\'s my issue.',business,0.049135,3,Bot
0.066078,0.028265,0.572728,0.028588,0.018652,0.083932,0.043064,100,0.453923,0.118625,0.055385,0.051378,0.152564,0.100673,0.078278,0.636187,0.077236,0,True,False,False,True,0.117284,0,0.023988,0.033903,0.036352,2,0.416275,P,0.065261,0.435594,0.341297,'“@Dammm_sunny: @kiddklassik lol well u gon be whatever I call u lol I got another name but imma Dave that for later lol”',cricket,0.043603,23,Bot
0.042966,0.10853,0.80606,0.119445,0.01708,0.182507,0.032858,100,0.40916,0.094556,0.028723,0.049152,0.082655,0.013008,0.014881,0.66937,0.180066,0,True,False,False,True,0.236139,0,0.014931,0.007736,0.094871,0,0.619657,P,0.208784,0.176752,0.287599,'LOL habang gumagawa ng project? Nico yan ihh. Haha',programming,0.006762,9,Bot
0.017229,0.096766,0.470064,0.225889,0.129757,0.080801,0.124505,94,0.476121,0.018996,0.108349,0.019798,0.016531,0.022168,0.025473,0.505368,0.150907,0,False,False,False,False,0.1299,0,0.112919,0.026547,0.084209,1,0.711363,P,0.092849,0.396084,0.097221,'@Ari_Communism It is a rough road that leads to the heights of greatness. - Seneca',bicycling,0.023103,14,Bot
0.086455,0.042879,0.651186,0.196987,0.017965,0.099665,0.032344,100,0.434692,0.120565,0.041756,0.066967,0.155651,0.065212,0.050512,0.621366,0.266352,0,True,False,False,False,0.168163,0,0.023193,0.028057,0.055358,0,0.44385,NONE,0.077199,0.158452,0.210046,?????,science,0.036222,0,Bot
0.078456,0.053479,0.62843,0.115426,0.026459,0.093793,0.041151,100,0.455247,0.108204,0.046405,0.069573,0.122019,0.06037,0.053535,0.593622,0.081704,0,True,False,False,False,0.083563,0,0.029837,0.034422,0.060307,0,0.46452,NONE,0.083174,0.061403,0.657904,'Shower w music is ??????',music,0.038817,4,Bot
0.064517,0.05889,0.441801,0.247317,0.076785,0.054597,0.057343,100,0.482321,0.038811,0.071187,0.05197,0.048181,0.062822,0.050604,0.453422,0.144203,0,True,False,False,True,0.196268,0,0.095322,0.067762,0.073108,1,0.536901,P,0.043979,0.179654,0.232557,'@keri843 cool page.',design,0.084121,3,Bot
0.101748,0.027277,0.590194,0.560804,0.015284,0.068147,0.02584,100,0.4469,0.116417,0.038184,0.068857,0.172026,0.096389,0.06523,0.597104,0.066654,0,True,False,False,True,0.06291,0,0.022585,0.038582,0.040307,0,0.380541,N+,0.046118,0.208663,0.100969,'You know ashton\'s hair in that keek when he\'s wearing the pony and in catering again bc i want that fUCKING HAIR AGAIN',wedding,0.057011,23,Bot
0.09915,0.096492,0.7134,0.004449,0.027661,0.094295,0.027277,94,0.455365,0.098665,0.027031,0.100053,0.097775,0.028029,0.028284,0.541388,0.04312,1,False,False,False,True,0.319847,0,0.027411,0.028682,0.095621,0,0.498548,P,0.095153,0.023551,0.609033,'I met with my wonderful daughter yesterday. She is expecting twins in June and I felt her babes kicking. What a great experience. #proudpapa',parenting,0.028423,24,Bot
0.090225,0.057133,0.535013,0.058711,0.045385,0.049154,0.040152,100,0.517363,0.082082,0.039046,0.09278,0.079821,0.063407,0.065203,0.47908,0.064162,0,True,False,False,False,0.322713,0,0.044135,0.073701,0.05556,0,0.419971,NONE,0.050546,0.419086,0.135328,'Top 3 music videos of the year so far:',music,0.071671,9,Bot
0.062726,0.088193,0.493577,0.173442,0.091649,0.050413,0.058166,92,0.516519,0.044201,0.052388,0.069644,0.03981,0.04137,0.045933,0.430033,0.089642,0,True,False,False,False,0.051386,0,0.082545,0.072373,0.079432,1,0.535166,N,0.055973,0.615917,0.069613,'@fucksahara Do not wait for leaders; do it alone person to person. - Mother Teresa',history,0.065184,14,Bot
0.118238,0.048971,0.531619,0.192315,0.037429,0.040088,0.027332,100,0.511125,0.077023,0.030639,0.105476,0.086343,0.065992,0.058869,0.449993,0.566103,0,True,False,False,False,0.113801,0,0.041958,0.080616,0.054896,1,0.388341,NONE,0.035761,0.113484,0.014297,'@godsangell We will either find a way or make one. - Hannibal',art,0.09037,11,Bot
0.071924,0.04759,0.539627,0.21149,0.037533,0.088635,0.050917,100,0.44274,0.07107,0.069904,0.052388,0.097572,0.076952,0.056051,0.564914,0.162506,0,True,False,False,True,0.022988,0,0.051529,0.041317,0.065336,0,0.504866,NONE,0.06456,0.337634,0.265382,'Never let other ppl tell you what to think or believe gotta find things out for yourself ya kno.',weight_training,0.056724,19,Bot
0.048385,0.082149,0.502085,0.287331,0.084413,0.073817,0.074748,98,0.479013,0.042221,0.075851,0.047681,0.042845,0.044025,0.043385,0.491579,0.150582,0,True,False,True,True,0.079382,0,0.08566,0.048995,0.083362,1,0.591075,P+,0.072743,0.384233,0.098472,'RT @ConanOBrien: Let’s just agree any group of 3 or more handsome British men should be referred to as a “cumberbatch.”',gender_issues,0.049718,21,Bot
0.068136,0.081625,0.528939,0.087616,0.070288,0.064825,0.0558,100,0.491015,0.054072,0.055821,0.06811,0.054092,0.046578,0.046561,0.473817,0.111558,0,True,False,False,True,0.283886,0,0.070314,0.05865,0.081656,1,0.532702,P,0.064801,0.072802,0.444139,'@Diana050399 nice!',art,0.058672,2,Bot
0.077029,0.062588,0.573884,0.088337,0.041848,0.080656,0.048207,92,0.467967,0.079317,0.053929,0.068855,0.088732,0.059329,0.053034,0.539668,0.176841,0,False,False,False,True,0.043351,0,0.046816,0.046039,0.070017,1,0.492678,P,0.072098,0.363856,0.327616,'@Enide_Ghost What\'s wrong with that...? You.. Look really cute..',judaism,0.051504,9,Bot
0.061784,0.078091,0.533127,0.097422,0.066666,0.075095,0.06153,100,0.477467,0.054731,0.064109,0.059299,0.057024,0.048682,0.046724,0.500893,0.073196,0,True,False,False,False,0.495805,0,0.069459,0.050623,0.081363,0,0.550195,P,0.072075,0.306067,0.027509,'Improve your spare moments and they will become the brightest gems in your life. - Ralph Waldo Emerson',music,0.052745,17,Bot
