@relation trainwseap

@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute confidence numeric
@attribute joy numeric
@attribute text string
@attribute extraversion numeric
@attribute isIronic {False,True}
@attribute sadness numeric
@attribute agreeableness numeric
@attribute isSubjective {True,False}
@attribute conscientiousness numeric
@attribute isAgreement {True,False}
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute openness numeric
@attribute class {Bot,Human}

@data
NONE,100,0.169558,'@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill',0.50675,False,0.433747,0.544255,False,0.439245,True,0.160359,0.068791,0.167545,0.554059,Bot
NONE,100,0.199086,'Ended the day in a and note fukk you',0.547214,False,0.194644,0.469858,False,0.483991,True,0.0958,0.405069,0.105402,0.464586,Bot
NONE,100,0.081749,'RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor',0.423173,False,0.52819,0.419969,False,0.506181,True,0.112635,0.037602,0.239825,0.52103,Bot
NONE,100,0.010254,'Why do people act like LeBron was the first person to do the powder toss?',0.599458,False,0.275818,0.508423,False,0.445171,True,0.56117,0.049807,0.102952,0.535592,Bot
P,100,0.380073,'A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren',0.465765,False,0.182119,0.476661,False,0.497835,True,0.124745,0.009169,0.303893,0.55087,Bot
N+,92,0.240911,'@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert',0.515845,False,0.231603,0.385943,True,0.517796,True,0.157383,0.182498,0.187604,0.556054,Bot
P,100,0.209312,'@NJoshuaDart very cool',0.537985,False,0.144006,0.56202,True,0.460762,True,0.171302,0.322785,0.152595,0.530484,Bot
NONE,100,0.214697,'@liveyoucaique awsome',0.47711,False,0.141542,0.435012,False,0.440678,True,0.125297,0.332317,0.186146,0.551646,Bot
NONE,100,0.125227,'@GarrettArt Whatever advice you give be brief. - Horace',0.503923,False,0.167759,0.443111,False,0.454639,True,0.30225,0.079217,0.325548,0.648394,Bot
P,100,0.023377,'What must i do to make you understand...??',0.550998,False,0.145272,0.540977,False,0.469219,True,0.564809,0.035986,0.230556,0.498156,Bot
P,100,0.237317,'@M_Gutowsky Mir geht\'s gut! :) Und bei dir auch alles okay?',0.534874,False,0.043138,0.505127,True,0.333232,True,0.018583,0.238737,0.462226,0.511434,Bot
NONE,100,0.203533,'@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww',0.467864,False,0.111852,0.494518,False,0.498192,True,0.079909,0.461925,0.142781,0.533742,Bot
P,100,0.188211,'@LaunchBubble nice...',0.499277,False,0.155995,0.491073,True,0.470269,True,0.116073,0.362454,0.177267,0.550465,Bot
N,92,0.354044,'A life without love is like a year without summer. - Swedish Proverb',0.497799,False,0.491792,0.449728,True,0.534249,True,0.067685,0.04776,0.038719,0.467181,Bot
NONE,100,0.201974,one.,0.52811,False,0.166323,0.529209,False,0.497974,True,0.212322,0.186235,0.233145,0.40876,Bot
P,100,0.184934,'The time is always right to do what is right. - Martin Luther King Jr.',0.488412,False,0.141218,0.523087,False,0.479218,True,0.258024,0.286734,0.129091,0.492597,Bot
N,100,0.050553,'@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle',0.501235,False,0.372016,0.432142,False,0.49094,True,0.43342,0.027826,0.116185,0.569667,Bot
N,86,0.195867,'No logic whatsoever but the music was good good editors. @emafabolous: @ImrKil It SUCKS!',0.573529,False,0.274775,0.621338,True,0.419641,False,0.108629,0.382773,0.037956,0.609166,Bot
P,100,0.501457,'Improvement begins with I. - Arnold . Glasgow',0.449672,False,0.054402,0.420275,False,0.451603,True,0.027145,0.079455,0.337542,0.574831,Bot
NONE,100,0.162731,'@CHOCOICE_JINRYU Please follow me',0.574961,False,0.33198,0.508352,False,0.460298,True,0.180591,0.086122,0.238577,0.506696,Bot
NONE,100,0.072414,'Everybody watching drumline???',0.532666,False,0.308464,0.536915,False,0.435239,True,0.213638,0.171356,0.234129,0.466766,Bot
P,100,0.128306,'@dmarc_24 Cool page',0.499565,False,0.168555,0.531371,True,0.485811,True,0.397452,0.197181,0.108506,0.465034,Bot
N,100,0.036998,'When everything seems to be going against you remember that the airplane takes off against the wind not with it. - Henry Ford',0.39518,False,0.276014,0.401643,True,0.517013,True,0.51803,0.017303,0.151654,0.51523,Bot
P,100,0.068523,'@UnlovedTrash T-Trubbish..? Tom floated right above where he hid with a curious look.',0.517457,False,0.249234,0.516093,False,0.468364,True,0.096731,0.236766,0.348747,0.542238,Bot
N,100,0.050125,'when you\'re lonely all you gotta do is call me. you know you\'re my one and only. come next to me lemme take you on a journey ?',0.655882,False,0.464142,0.643862,True,0.462869,True,0.187965,0.098108,0.19966,0.453219,Bot
NONE,100,0.205127,'RT @JenSelter: Can\'t sleep',0.470715,False,0.189576,0.494358,False,0.540249,True,0.277492,0.074529,0.253276,0.475345,Bot
P,92,0.003527,'I won\'t reply to you if you send one word texts so don\'t get mad at me for not replying when you\'re the one who\'s one wording me.',0.580463,False,0.09443,0.547609,True,0.48595,True,0.862071,0.002653,0.037319,0.434203,Bot
P+,98,0.214152,'The more reasons you have for achieving your goal the more determined you will become. - Brian Tracy',0.520819,False,0.391168,0.479018,False,0.458073,True,0.116859,0.089209,0.188612,0.620582,Bot
NONE,100,0.155701,'@gangrenadiario WOW',0.526976,False,0.149269,0.48437,True,0.508707,True,0.12606,0.405535,0.163435,0.515284,Bot
NEU,86,0.20724,'If you have choices choose the best. If you have no choice do the best.',0.49953,False,0.263329,0.562637,True,0.51296,False,0.18001,0.163532,0.185889,0.446779,Bot
P+,100,0.306419,'@metalinsider you\'re awesome',0.521892,False,0.049344,0.527263,True,0.494337,True,0.045311,0.549459,0.049466,0.435066,Bot
P,100,0.077464,'@Herostrain The superior man is modest in his speech but exceeds in his actions. - Confucius',0.439115,False,0.333589,0.420277,True,0.532299,True,0.148948,0.055445,0.384554,0.512927,Bot
P+,100,0.057296,'if you loved me you would be here with me...',0.548149,False,0.568171,0.606408,True,0.484538,True,0.216114,0.037545,0.120874,0.451971,Bot
P,100,0.108218,'@staticinverona It\'s simple ... go the extra mile and you will stand out from the crowd. - Robin Crow',0.498533,False,0.272546,0.499089,True,0.514842,True,0.442968,0.01154,0.164727,0.434734,Bot
NONE,100,0.155701,'@Rahmawati765 wow',0.526976,False,0.149269,0.48437,True,0.508707,True,0.12606,0.405535,0.163435,0.515284,Bot
N+,100,0.009307,'That\'s the pussy step dad shit I be talking about.... If it wasn\'t for my mom we would\'ve been threw the hands',0.502105,False,0.312349,0.499735,True,0.51953,True,0.552866,0.045341,0.080137,0.449755,Bot
NONE,100,0.116434,'That\'s my issue.',0.532271,False,0.191129,0.525362,False,0.529749,True,0.379001,0.055967,0.25747,0.458532,Bot
P,100,0.117284,'“@Dammm_sunny: @kiddklassik lol well u gon be whatever I call u lol I got another name but imma Dave that for later lol”',0.636187,False,0.435594,0.572728,True,0.453923,True,0.028588,0.341297,0.077236,0.416275,Bot
P,100,0.236139,'LOL habang gumagawa ng project? Nico yan ihh. Haha',0.66937,False,0.176752,0.80606,True,0.40916,True,0.119445,0.287599,0.180066,0.619657,Bot
P,94,0.1299,'@Ari_Communism It is a rough road that leads to the heights of greatness. - Seneca',0.505368,False,0.396084,0.470064,False,0.476121,False,0.225889,0.097221,0.150907,0.711363,Bot
NONE,100,0.168163,?????,0.621366,False,0.158452,0.651186,False,0.434692,True,0.196987,0.210046,0.266352,0.44385,Bot
NONE,100,0.083563,'Shower w music is ??????',0.593622,False,0.061403,0.62843,False,0.455247,True,0.115426,0.657904,0.081704,0.46452,Bot
P,100,0.196268,'@keri843 cool page.',0.453422,False,0.179654,0.441801,True,0.482321,True,0.247317,0.232557,0.144203,0.536901,Bot
N+,100,0.06291,'You know ashton\'s hair in that keek when he\'s wearing the pony and in catering again bc i want that fUCKING HAIR AGAIN',0.597104,False,0.208663,0.590194,True,0.4469,True,0.560804,0.100969,0.066654,0.380541,Bot
P,94,0.319847,'I met with my wonderful daughter yesterday. She is expecting twins in June and I felt her babes kicking. What a great experience. #proudpapa',0.541388,False,0.023551,0.7134,True,0.455365,False,0.004449,0.609033,0.04312,0.498548,Bot
NONE,100,0.322713,'Top 3 music videos of the year so far:',0.47908,False,0.419086,0.535013,False,0.517363,True,0.058711,0.135328,0.064162,0.419971,Bot
N,92,0.051386,'@fucksahara Do not wait for leaders; do it alone person to person. - Mother Teresa',0.430033,False,0.615917,0.493577,False,0.516519,True,0.173442,0.069613,0.089642,0.535166,Bot
NONE,100,0.113801,'@godsangell We will either find a way or make one. - Hannibal',0.449993,False,0.113484,0.531619,False,0.511125,True,0.192315,0.014297,0.566103,0.388341,Bot
NONE,100,0.022988,'Never let other ppl tell you what to think or believe gotta find things out for yourself ya kno.',0.564914,False,0.337634,0.539627,True,0.44274,True,0.21149,0.265382,0.162506,0.504866,Bot
P+,98,0.079382,'RT @ConanOBrien: Let’s just agree any group of 3 or more handsome British men should be referred to as a “cumberbatch.”',0.491579,False,0.384233,0.502085,True,0.479013,True,0.287331,0.098472,0.150582,0.591075,Bot
P,100,0.283886,'@Diana050399 nice!',0.473817,False,0.072802,0.528939,True,0.491015,True,0.087616,0.444139,0.111558,0.532702,Bot
P,92,0.043351,'@Enide_Ghost What\'s wrong with that...? You.. Look really cute..',0.539668,False,0.363856,0.573884,True,0.467967,False,0.088337,0.327616,0.176841,0.492678,Bot
P,100,0.495805,'Improve your spare moments and they will become the brightest gems in your life. - Ralph Waldo Emerson',0.500893,False,0.306067,0.533127,False,0.477467,True,0.097422,0.027509,0.073196,0.550195,Bot
P,92,0.058408,'@chrizzyjordvn If opportunity doesn\'t knock build a door. - Milton Berle',0.483799,False,0.216512,0.430316,False,0.466854,True,0.258939,0.120585,0.345556,0.667325,Bot
NONE,100,0.20259,'@BigGhostLtd ahh',0.575494,False,0.136551,0.596561,False,0.427454,True,0.134856,0.245041,0.280962,0.590324,Bot
P+,100,0.306419,'@PatDhat you\'re awesome',0.521892,False,0.049344,0.527263,True,0.494337,True,0.045311,0.549459,0.049466,0.435066,Bot
NONE,100,0.130288,'@_FlyBoiErrey Please follow me',0.579052,False,0.377994,0.528883,False,0.460308,True,0.244086,0.049301,0.198331,0.510882,Bot
NONE,100,0.269042,'@OnlyMe_Brianna !',0.461375,False,0.093334,0.638003,False,0.577867,True,0.10515,0.442769,0.089705,0.46856,Bot
NONE,100,0.039286,'why am I awake and why am I in my feelings',0.613931,False,0.37551,0.643748,False,0.488519,True,0.409845,0.057958,0.117401,0.42133,Bot
P,92,0.058448,'If we do not plant knowledge when young it will give us no shade when we are old. - Lord Chesterfield',0.445165,False,0.391142,0.444129,False,0.526276,True,0.33732,0.032748,0.180342,0.623773,Bot
NONE,100,0.031363,'RT @NylonMag: How @itsmeleighton is putting @gossipgirl behind her: http://t.co/agh8YPSG9r http://t.co/5NXd14sX41',0.439306,False,0.520804,0.494642,False,0.509305,True,0.146109,0.008607,0.293118,0.516697,Bot
NONE,100,0.066421,'@Cimot_Kepo The question isn\'t who is going to let me; it\'s who is going to stop me. - Ayn Rand',0.515033,False,0.226144,0.419438,False,0.489497,True,0.291083,0.231956,0.184396,0.685384,Bot
P,100,0.065118,'what i would give to be in portugal right now',0.552857,False,0.390918,0.459123,False,0.441766,True,0.253813,0.087671,0.202481,0.503092,Bot
P,100,0.209689,'@heyshaf NICE',0.481997,False,0.12553,0.499211,True,0.479122,True,0.118606,0.37933,0.166845,0.574803,Bot
NONE,100,0.186185,'Just got the email back regarding job #2...',0.439268,False,0.109084,0.423624,False,0.543865,True,0.108037,0.022289,0.574405,0.487486,Bot
P,100,0.170542,'Good ting Rap Genius doh cover soca music cuz dey woulda have a hard time decipherin this song #BMT',0.58302,False,0.375861,0.504871,True,0.540379,True,0.130265,0.27022,0.053112,0.506063,Bot
P+,100,0.26519,'Believe deep down in your heart that you\'re destined to do great things. - Joe Paterno',0.559692,False,0.335286,0.523015,True,0.465413,True,0.11836,0.177294,0.103871,0.546229,Bot
NONE,100,0.214697,'@NeikoDeBarge awsome',0.47711,False,0.141542,0.435012,False,0.440678,True,0.125297,0.332317,0.186146,0.551646,Bot
P+,100,0.306419,'@WichoBeatz you\'re awesome',0.521892,False,0.049344,0.527263,True,0.494337,True,0.045311,0.549459,0.049466,0.435066,Bot
NONE,100,0.212486,FALAR,0.465126,False,0.159222,0.434145,False,0.527903,True,0.186567,0.219347,0.222378,0.390752,Bot
P+,100,0.346732,'@Under_5ft You must take action now that will move you towards your goals. Develop a sense of urgency in your life. - Les Brown',0.50705,False,0.300427,0.449209,False,0.50453,True,0.128045,0.051039,0.173757,0.554681,Bot
P,100,0.205368,'@Pyfbrown Faith is taking the first step even when you don\'t see the whole staircase. - Martin Luther King Jr.',0.47767,False,0.209073,0.538027,False,0.4676,True,0.082494,0.251811,0.251253,0.481004,Bot
NONE,100,0.243679,'@iamkmh_sc BI EKTIP PLS~',0.591009,False,0.269021,0.410713,False,0.514169,True,0.164605,0.097445,0.225249,0.329786,Bot
P,100,0.258822,'My best song for feb was definitely Nosa\'s always on my mind',0.683159,False,0.280587,0.628538,True,0.429065,True,0.18794,0.143469,0.129182,0.451183,Bot
N,100,0.030386,'@54j33dh4 Believe and act as if it were impossible to fail. - Charles F. Kettering',0.394217,False,0.359455,0.409296,True,0.48045,True,0.383683,0.01736,0.209116,0.673949,Bot
NONE,100,0.192946,'@5secs0fparam0re hi',0.721287,False,0.164956,0.625844,False,0.400102,True,0.142407,0.282531,0.21716,0.605858,Bot
P,100,0.194196,'@amirxkhld_ NICE',0.46842,False,0.110647,0.516501,True,0.481017,True,0.115747,0.446381,0.133029,0.568225,Bot
P+,90,0.093274,'Nothing is more expensive than a missed opportunity. - . Jackson Brown',0.519427,False,0.569433,0.459447,True,0.442421,True,0.110758,0.135962,0.090573,0.60343,Bot
N,97,0.090524,'@soal_KPOP He who is not courageous enough to take risks will accomplish nothing in life. - Muhammad Ali',0.412615,False,0.586446,0.404395,True,0.502007,True,0.133274,0.101261,0.088496,0.663317,Bot
NONE,100,0.163456,'@MOHANEDAHMED_ f4f please!',0.474243,False,0.123362,0.521623,False,0.52233,True,0.34123,0.05797,0.313982,0.486626,Bot
P,100,0.247828,'@LA_Promoter Ambition has one heel nailed in well though she stretch her fingers to touch the heavens. - Lao Tzu',0.536369,False,0.273556,0.70282,True,0.474089,True,0.181408,0.039661,0.257547,0.45834,Bot
NONE,100,0.022658,'RT @AlAnba_News_KW: بالصور.. تعرف على أفخم الوحدات السكنية في الإمارات  http://t.co/313yVVF0qK',0.36076,False,0.401943,0.381051,False,0.5426,True,0.088829,0.004656,0.481914,0.511463,Bot
P,100,0.266823,'@wesnakedd I began learning long ago that those who are happiest are those who do the most for others. - Booker T. Washington',0.469752,False,0.249047,0.590958,True,0.520517,True,0.156617,0.161655,0.165857,0.485133,Bot
P,94,0.036944,'When your going through a rough time and you are pushed down to your knees you are in the perfect position to pray...',0.498841,False,0.303463,0.475765,False,0.490268,False,0.132206,0.016612,0.510776,0.529939,Bot
N,92,0.024347,'I\'m on one of those moods where I really want to listen to music but I can\'t find the right song. Hhhh.',0.493993,False,0.238512,0.567066,False,0.492614,True,0.608303,0.019398,0.109439,0.471177,Bot
N,100,0.135424,'@victoriaxdelrio The less you open your heart to others the more your heart suffers. - Deepak Chopra',0.526289,False,0.382368,0.500078,False,0.394407,True,0.086515,0.012856,0.382837,0.596371,Bot
P,94,0.053599,'RT @marktonythought: This Guy Decided To Cheat On His Girlfriend. What She Did About It Is EPIC',0.47397,False,0.169725,0.45469,False,0.519405,False,0.061606,0.667466,0.047605,0.501804,Bot
NONE,100,0.433559,'@Danny_Peru Happiness is found in doing not merely possessing. - Napoleon Hill',0.386656,False,0.150501,0.486948,False,0.459063,True,0.026472,0.339128,0.050339,0.707751,Bot
NONE,100,0.317079,'Man Cakes The Fuk Up',0.554096,False,0.201842,0.517596,False,0.496136,True,0.175647,0.244796,0.060637,0.393769,Bot
P,100,0.151817,'@Brad88ford Instinct is untaught ability. - Alexander Bain',0.466742,False,0.205047,0.393403,False,0.46986,True,0.188528,0.277532,0.177076,0.508041,Bot
N,100,0.079567,'I aim to high thus I get denied',0.551457,False,0.398848,0.454865,False,0.440807,True,0.198737,0.019438,0.30341,0.587285,Bot
N+,100,0.023174,'This Old Ass Song.',0.546051,False,0.179843,0.524472,True,0.461424,True,0.679072,0.082364,0.035547,0.492495,Bot
P,97,0.043264,'Where the hell is all the fun at and why am I not there',0.557938,False,0.386999,0.499811,True,0.494917,True,0.395887,0.066166,0.107684,0.466774,Bot
P+,100,0.126486,'@MlNlON Even a mistake may turn out to be the one thing necessary to a worthwhile achievement. - Henry Ford',0.406837,False,0.379459,0.459493,False,0.507021,True,0.271336,0.111145,0.111574,0.540065,Bot
N,100,0.447661,'RT @rioferdy5: BIG morning session done in the gym.. Now aboard flight to #Dublin to see you all later at @easons for my #2Sides book signi…',0.419735,False,0.114283,0.495243,True,0.560077,True,0.030822,0.257956,0.149278,0.555718,Bot
N,100,0.047883,'@weeshawnaMarie Strength lies in differences not in similarities. - Stephen Covey',0.502264,False,0.380867,0.52873,False,0.446914,True,0.210076,0.091473,0.269702,0.67079,Bot
NONE,100,0.289982,'RT @Penampilanku: Jika anda mengingikan sesuatu yang belum anda miliki maka anda akan harus melakukan sesuatu yg belum pernah anda lakukan',0.341134,False,0.252493,0.444966,False,0.513307,True,0.116062,0.19788,0.143583,0.508704,Bot
NONE,100,0.25377,'Winter always turns into spring. - Nichiren',0.463658,False,0.240413,0.423311,False,0.534328,True,0.238728,0.049693,0.217395,0.491174,Bot
NONE,100,0.159983,'i really like that studio song a lot.',0.594385,False,0.275958,0.62727,False,0.433913,True,0.249117,0.163709,0.151233,0.486345,Bot
P,100,0.182301,'@dalyjailene cool',0.553188,False,0.154217,0.588442,True,0.448826,True,0.170082,0.298054,0.195347,0.521442,Bot
P+,100,0.136335,'Doing your best is more important than being your best. - Shannon Miller',0.543497,False,0.055152,0.54778,False,0.489279,True,0.012602,0.773935,0.021976,0.5107,Bot
NONE,100,0.208585,'Listening to music til I k.o',0.367451,False,0.084266,0.530106,False,0.508356,True,0.089302,0.434742,0.183105,0.394275,Bot
P,100,0.076283,'Like if reading off power points is all they\'re going to do then I\'m 100\% qualified to be a teacher',0.569455,False,0.165259,0.453395,False,0.432226,True,0.504156,0.125411,0.128892,0.564133,Bot
NONE,100,0.155701,'@believfever wow',0.526976,False,0.149269,0.48437,True,0.508707,True,0.12606,0.405535,0.163435,0.515284,Bot
NONE,100,0.192946,'@Tyalll hi',0.721287,False,0.164956,0.625844,False,0.400102,True,0.142407,0.282531,0.21716,0.605858,Bot
NONE,100,0.155701,'@JustinC27 wow',0.526976,False,0.149269,0.48437,True,0.508707,True,0.12606,0.405535,0.163435,0.515284,Bot
P,100,0.089372,'FIND OUT ABOUT THE #SEXY #MONESHAJONES AKA @MO_BUDDA HERE==&gt; http://t.co/3BdoLSq80u #RAPPER #MODEL #BIGGBOYMANAGEMENT',0.470838,False,0.471135,0.484799,True,0.51273,True,0.12108,0.016105,0.302309,0.518956,Bot
P+,100,0.755467,'#killzoneshadowfall is a gorgeous game worth 39.99 lol #ps4',0.618982,False,0.091631,0.554024,True,0.516465,True,0.02909,0.054057,0.069754,0.405508,Bot
NONE,100,0.095374,'@HellaDankRec You must not only aim right but draw the bow with all your might. - Henry David Thoreau',0.501943,False,0.309575,0.531833,False,0.43598,True,0.103002,0.377522,0.114527,0.586454,Bot
N,100,0.048572,'@YongeGrove Anyone who angers you conquers you. - Elizabeth Kenny',0.41035,False,0.45801,0.521679,False,0.565131,True,0.292454,0.156331,0.044633,0.266188,Bot
P,97,0.047477,'@STAR_SO_SILLY People rarely succeed unless they have fun in what they are doing. - Dale Carnegie',0.655704,False,0.296719,0.502917,False,0.536098,True,0.505931,0.100015,0.049859,0.439106,Bot
P,92,0.278826,'Never has it felt so good to lie down',0.555573,False,0.347084,0.583077,True,0.462984,True,0.06999,0.20871,0.09539,0.495779,Bot
P,100,0.334316,'@nicholasjtait Give your dreams all you\'ve got and you\'ll be amazed at the energy that comes out of you. - William James',0.491514,False,0.153782,0.480183,True,0.479284,True,0.041777,0.411706,0.058419,0.556261,Bot
P+,100,0.155172,'Remember happiness doesn\'t depend upon who you are or what you have; it depends solely on what you think. - Dale Carnegie',0.519819,False,0.23999,0.54156,True,0.551413,True,0.179311,0.058764,0.366764,0.484641,Bot
NONE,100,0.326516,'West coast team tournament here we goooooooooooooo',0.585258,False,0.077748,0.423859,False,0.503979,True,0.027678,0.014708,0.55335,0.392126,Bot
NONE,100,0.279546,'*Dad walks out and looks at my Jeep*',0.549495,False,0.35999,0.426306,False,0.432807,True,0.172248,0.077244,0.110972,0.567621,Bot
P,100,0.2658,'@grussell903 amazing',0.535086,False,0.111016,0.540472,True,0.492511,True,0.099362,0.372321,0.151501,0.520438,Bot
P,100,0.182301,'@ravithambip cool',0.553188,False,0.154217,0.588442,True,0.448826,True,0.170082,0.298054,0.195347,0.521442,Bot
P,100,0.209312,'@Willgmusic very cool',0.537985,False,0.144006,0.56202,True,0.460762,True,0.171302,0.322785,0.152595,0.530484,Bot
P,100,0.089241,'Jay must have been in love more with the girl he sang about on Song Cry than he is with B now.',0.654522,False,0.63145,0.591405,True,0.464617,True,0.066728,0.175134,0.037448,0.531988,Bot
N+,89,0.294887,'@Homebwoi Remember that not getting what you want is sometimes a wonderful stroke of luck. - Dalai Lama',0.449197,False,0.16011,0.574021,True,0.500649,True,0.109227,0.077799,0.357977,0.612685,Bot
N,92,0.046189,'@http_indie Cleverness is not wisdom. - Euripides',0.577644,False,0.180203,0.493944,False,0.444688,True,0.222796,0.104107,0.446705,0.651136,Bot
N,100,0.124882,'I put my heart and my soul into my work and have lost my mind in the process. - Vincent Van Gogh',0.571163,False,0.239906,0.634013,False,0.457085,True,0.091422,0.006979,0.53681,0.537561,Bot
P,100,0.293651,'A person can succeed at anything for which there is enthusiasm. - Charles M. Schwab',0.48872,False,0.245209,0.382274,False,0.489726,True,0.207053,0.100399,0.153687,0.545826,Bot
NONE,100,0.092606,'We have a right to do what we want.',0.534913,False,0.14025,0.489556,False,0.477276,True,0.278409,0.072988,0.415748,0.533252,Bot
N,92,0.065584,'Do not bring me your successes; they weaken me. Bring me your problems; they strengthen me. - Anonymous',0.526049,False,0.349017,0.476538,False,0.491729,True,0.396459,0.034053,0.154887,0.542669,Bot
P+,100,0.08295,'I love those hugs where you just don\'t want to let go.',0.538441,False,0.353518,0.798512,True,0.461349,True,0.379084,0.024366,0.160082,0.477133,Bot
P,100,0.209312,'@JairWoo very cool',0.537985,False,0.144006,0.56202,True,0.460762,True,0.171302,0.322785,0.152595,0.530484,Bot
NEU,94,0.101856,'You could see a homeless lightskin and she\'ll still be classy.',0.486399,False,0.627727,0.484949,True,0.496541,False,0.133241,0.050839,0.086338,0.500585,Bot
P+,100,0.107597,'I am the greatest I said that even before I knew I was. - Muhammad Ali',0.584405,False,0.526207,0.532144,False,0.489359,True,0.044551,0.244356,0.077289,0.461769,Bot
P,100,0.095702,'@aggregate_music Wishing to be friends is quick work but friendship is a slow ripening fruit. - Aristotle',0.451087,False,0.480575,0.410018,True,0.547883,True,0.246844,0.105393,0.071485,0.572743,Bot
NONE,100,0.089107,'@REVERBPROM0 You can\'t turn back the clock. But you can wind it up again. - Bonnie Prudden',0.367655,False,0.242135,0.514427,False,0.529101,True,0.473437,0.034943,0.160378,0.435337,Bot
P+,100,0.415989,'Tyler Joseph is the best song writer I\'ve ever heard I love him so much',0.645295,False,0.079043,0.690154,True,0.396225,True,0.021622,0.454603,0.028743,0.487877,Bot
P+,90,0.196703,'@_J_Fry Check out my Jack Move Music Video  love me later coming soon !!!!  http://t.co/sh9Xt3YFtR',0.565004,True,0.272708,0.683902,True,0.49678,True,0.086384,0.015399,0.428806,0.471067,Bot
NONE,100,0.812111,'D�jame poner Music ^.^',0.363452,False,0.009715,0.638516,False,0.439613,True,0.00705,0.126582,0.044543,0.774001,Bot
P,100,0.117277,'@weedfact Good instincts tell you what to do long before your head has figured it out. - Michael Burke',0.508701,False,0.207972,0.568895,True,0.472326,True,0.254292,0.130738,0.289721,0.524491,Bot
P+,100,0.157289,'What jean brand do you all think is the best right now? #bizitalk #deals #fashion #quiz #jeans #duggar #retail #resale #ebay #holiness',0.674125,False,0.159085,0.573788,True,0.497592,True,0.072573,0.528456,0.082596,0.448446,Bot
N+,100,0.011412,'The ladybugs still kicking it with me. So sad to watch them die. I feel special they wanna spend their… http://t.co/6qy8dF0TrC',0.482842,False,0.828734,0.599341,True,0.462286,True,0.065976,0.001193,0.092686,0.49762,Bot
